preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,negMarketValue,marketValue,chgPct,PE,PE1,PB,closePrice
25.98,25.98,51,58.96,50.62,15656892,848091780,20973,0.8155,1052352000,5250798000,1.1097,44.369,30.7246,17.964,54.81
54.81,54.81,56.11,60.29,56.11,8449439,492400000,11649,0.4401,1157568000,5775782000,0.1,48.8051,33.7965,19.76,60.29
60.29,60.29,61.5,62.58,58.38,6120506,371840960,10703,0.3188,1162368000,5799732000,0.0041,49.0075,33.9366,19.842,60.54
60.54,60.54,59.5,62,58.6,3389535,204633776,6555,0.1765,1162368000,5799732000,0,49.0075,33.9366,19.842,60.54
60.54,60.54,59.01,65,59,3583820,223459856,7013,0.1867,1175040000,5862960000,0.0109,49.5417,34.3066,20.0583,61.2
61.2,61.2,60.5,62.5,58.88,2203259,133541264,4714,0.1148,1141440000,5695310000,-0.0286,48.1251,33.3256,19.4847,59.45
59.45,59.45,59.68,59.68,56,3378720,194222688,5712,0.176,1102080000,5498920000,-0.0345,46.4656,32.1764,18.8128,57.4
57.4,57.4,57.2,58.97,56.51,2118720,122353480,3720,0.1104,1094400000,5460600000,-0.007,46.1418,31.9522,18.6817,57
57,57,56.4,56.4,52.9,3479595,188119616,5405,0.1812,1050240000,5240260000,-0.0404,44.28,30.6629,17.9279,54.7
54.7,54.7,53.75,56.75,52.3,2294974,123881176,4372,0.1195,1047552000,5226848000,-0.0026,44.1666,30.5844,17.882,54.56
54.56,54.56,54.2,54.3,51.9,1824004,96976496,3491,0.095,1001280000,4995970000,-0.0442,42.2157,29.2335,17.0921,52.15
52.15,52.15,51.9,53.48,51.08,1445547,75359152,2996,0.0753,1004160000,5010340000,0.0029,42.3371,29.3175,17.1413,52.3
52.3,52.3,52.29,53.21,51.8,1051276,55398132,2451,0.0548,1021440000,5096560000,0.0172,43.0657,29.8221,17.4363,53.2
53.2,53.2,53.49,53.8,51.81,876061,46086656,2088,0.0456,998400000,4981600000,-0.0226,42.0943,29.1494,17.043,52
52,52,49.98,52.2,48.04,2155592,107353608,3298,0.1123,933120000,4655880000,-0.0654,39.342,27.2435,15.9286,48.6
48.6,48.6,48.88,51.78,48.6,1829972,91999704,3299,0.0953,969600000,4837900000,0.0391,40.88,28.3085,16.5514,50.5
50.5,50.5,49.5,50.65,48.38,1209159,59739340,2499,0.063,956160000,4770840000,-0.0139,40.3134,27.9161,16.3219,49.8
49.8,49.8,49.3,49.8,44.82,2009192,95103144,3127,0.1046,860544000,4293756000,-0.1,36.282,25.1245,14.6897,44.82
44.82,44.82,43.01,44.78,40.34,2025074,83928224,3733,0.1055,774528000,3864572000,-0.1,32.6555,22.6132,13.2214,40.34
40.34,40.34,40.2,41.41,38.27,1506398,60578880,2702,0.0785,748800000,3736200000,-0.0332,31.5707,21.862,12.7822,39
39,39,39.02,42.45,39.02,1843177,75648720,3354,0.096,809088000,4037012000,0.0805,34.1126,23.6222,13.8114,42.14
42.14,42.14,41.16,41.98,37.93,1480427,58368336,3113,0.0771,728256000,3633694000,-0.0999,30.7045,21.2622,12.4315,37.93
37.93,37.93,37.85,41.5,36.54,2131858,84925664,3518,0.111,774720000,3865530000,0.0638,32.6635,22.6188,13.2247,40.35
40.35,40.35,39.17,44.3,38.9,1614884,67636216,3550,0.0841,808320000,4033180000,0.0434,34.0802,23.5998,13.7983,42.1
42.1,42.1,40.9,43.78,40.41,1045619,44073176,2139,0.0545,818880000,4085870000,0.0131,34.5254,23.9081,13.9785,42.65
42.65,42.65,42.05,44.3,41.88,965009,41811816,2109,0.0503,832512000,4153888000,0.0166,35.1002,24.3061,14.2112,43.36
43.36,43.36,0,0,0,0,0,0,0,832512000,4153888000,0,35.1002,24.3061,14.2112,43.36
