preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,turnoverVol,turnoverValue,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PB,closePrice
4.78,4.78,10.2,10.98,10.08,36405076,385752448,0.6068,0.064157449,642600000,1713600000,1.2406,1.6734,10.71
10.71,10.71,10.58,10.74,10.35,12969091,136727424,0.2162,0.064157449,637200000,1699200000,-0.0084,1.6593,10.62
10.62,10.62,10.7,11.68,10.66,18138534,202965504,0.3023,0.064157449,700800000,1868800000,0.0998,1.8249,11.68
11.68,11.68,11.9,12.77,11.8,28847848,350362400,0.4808,0.064157449,729000000,1944000000,0.0402,1.8983,12.15
12.15,12.15,12.09,12.3,11.95,11939049,144638048,0.199,0.064157449,732000000,1952000000,0.0041,1.9062,12.2
12.2,12.2,12.2,12.43,12.01,10404395,127225520,0.1734,0.064157449,723600000,1929600000,-0.0115,1.8843,12.06
12.06,12.06,12.08,12.3,11.71,10068151,121118096,0.1678,0.064157449,706800000,1884800000,-0.0232,1.8405,11.78
11.78,11.78,11.72,12.05,11.72,4393986,52295964,0.0732,0.064157449,711600000,1897600000,0.0068,1.853,11.86
11.86,11.86,11.86,11.92,11.45,5475832,63748256,0.0913,0.064157449,697800000,1860800000,-0.0194,1.8171,11.63
11.63,11.63,11.68,12.35,11.68,8939779,107942064,0.149,0.064157449,727200000,1939200000,0.0421,1.8937,12.12
12.12,12.12,12.1,12.25,12,2847748,34503392,0.0475,0.064157449,726600000,1937600000,-0.0008,1.8921,12.11
12.11,12.11,12.12,12.14,11.84,3205470,38338032,0.0534,0.064157449,727200000,1939200000,0.0008,1.8937,12.12
12.12,12.12,12.03,12.15,11.75,3092317,36908016,0.0515,0.064157449,716400000,1910400000,-0.0149,1.8655,11.94
11.94,11.94,11.94,12.16,11.85,3225253,38711136,0.0538,0.064157449,729000000,1944000000,0.0176,1.8983,12.15
12.15,12.15,12.15,12.17,11.64,4115564,48775904,0.0686,0.064157449,703200000,1875200000,-0.0354,1.8312,11.72
11.72,11.72,11.65,11.82,11.51,2315450,27005002,0.0386,0.064157449,702600000,1873600000,-0.0009,1.8296,11.71
11.71,11.71,11.61,11.73,11.3,4026264,46045196,0.0671,0.064157449,686400000,1830400000,-0.0231,1.7874,11.44
11.44,11.44,11.56,11.82,11.46,2089479,24402572,0.0348,0.064157449,699000000,1864000000,0.0184,1.8202,11.65
11.65,11.65,11.71,11.96,11.67,2197650,26040988,0.0366,0.064157449,716400000,1910400000,0.0249,1.8655,11.94
11.94,11.94,11.92,11.98,11.82,1275472,15181468,0.0213,0.064157449,714600000,1905600000,-0.0025,1.8608,11.91
11.91,11.91,11.88,11.88,11.66,1220691,14341609,0.0203,0.064157449,702000000,1872000000,-0.0176,1.828,11.7
11.7,11.7,11.8,12.87,11.72,13696196,170730432,0.2283,0.064157449,745800000,1988800000,0.0624,1.9421,12.43
12.43,12.43,12.4,12.57,12.14,5861269,72414104,0.0977,0.064157449,731400000,1950400000,-0.0193,1.9046,12.19
12.19,12.19,12.3,12.38,11.22,6925702,81749024,0.1154,0.064157449,718800000,1916800000,-0.0172,1.8718,11.98
11.98,11.98,11.79,12.24,11.6,2636213,31350492,0.0439,0.064157449,723000000,1928000000,0.0058,1.8827,12.05
12.05,12.05,12,12.12,11.83,1338167,16011329,0.0223,0.064157449,717600000,1913600000,-0.0075,1.8687,11.96
11.96,11.96,11.85,12.65,11.71,4953916,60672116,0.0826,0.064157449,742200000,1979200000,0.0343,1.9327,12.37
12.37,12.37,12.5,12.87,12.28,4381259,55010952,0.073,0.064157449,742800000,1980800000,0.0008,1.9343,12.38
12.38,12.38,12.39,12.57,12.24,2251288,27937634,0.0375,0.064157449,745200000,1987200000,0.0032,1.9405,12.42
12.42,12.42,12.38,13.04,12.35,6205981,79342024,0.1034,0.064157449,757200000,2019200000,0.0161,1.9718,12.62
12.62,12.62,12.6,13.05,12.6,5609818,71978448,0.0935,0.064157449,769800000,2052800000,0.0166,2.0046,12.83
12.83,12.83,12.83,12.92,12.51,3809116,48267428,0.0635,0.064157449,753600000,2009600000,-0.021,1.9624,12.56
12.56,12.56,12.56,12.75,12.41,1841396,23130836,0.0307,0.064157449,764400000,2038400000,0.0143,1.9905,12.74
12.74,12.74,12.74,12.85,12.55,1713734,21805652,0.0286,0.064157449,770400000,2054400000,0.0078,2.0061,12.84
12.84,12.84,12.92,14,12.9,9603886,129676528,0.1601,0.064157449,814200000,2171200000,0.0569,2.1202,13.57
13.57,13.57,13.55,13.74,13.4,3862346,52476968,0.0644,0.064157449,814200000,2171200000,0,2.1202,13.57
13.57,13.57,13.58,13.9,13.08,5568865,75076120,0.0928,0.064157449,791400000,2110400000,-0.028,2.0608,13.19
13.19,13.19,13.18,13.38,12.83,4338541,57019788,0.0723,0.064157449,787800000,2100800000,-0.0045,2.0515,13.13
13.13,13.13,13.06,13.37,12.87,2714166,35945692,0.0452,0.064157449,801000000,2136000000,0.0168,2.0858,13.35
13.35,13.35,13,13.2,12.1,5795147,73070848,0.0966,0.064157449,753600000,2009600000,-0.0592,1.9624,12.56
12.56,12.56,12.55,12.68,12.25,1818691,22609608,0.0303,0.064157449,739800000,1972800000,-0.0183,1.9265,12.33
12.33,12.33,12.33,12.8,12.26,2201844,27763336,0.0367,0.064157449,752400000,2006400000,0.017,1.9593,12.54
12.54,12.54,12.66,13.26,12.66,3466847,45046052,0.0578,0.064157449,781800000,2084800000,0.0391,2.0358,13.03
13.03,13.03,13.1,13.98,13,5749805,77584128,0.0958,0.064157449,804600000,2145600000,0.0292,2.0952,13.41
13.41,13.41,13.35,13.55,13.13,2868935,38173560,0.0478,0.064157449,795600000,2121600000,-0.0112,2.0718,13.26
13.26,13.26,13.27,13.8,13.21,5109219,68995192,0.0852,0.064157449,810600000,2161600000,0.0189,2.1108,13.51
